id,trial,response
1,0,0
1,0,0
1,29,0
1,2,100
1,5,100
1,9,100
1,3,100
1,18,0
1,27,0
1,30,0
1,26,0
1,23,100
1,25,0
1,10,100
1,11,100
1,1,100
1,15,0
1,22,100
1,21,98
1,4,100
1,20,100
1,24,100
1,17,0
1,16,0
1,14,0
1,8,100
1,6,100
1,7,100
1,19,100
1,12,100
1,13,0
1,28,0
2,0,0
2,0,0
2,7,100
2,21,100
2,27,0
2,24,100
2,2,100
2,13,0
2,6,100
2,15,0
2,20,100
2,26,0
2,14,0
2,8,100
2,30,0
2,29,0
2,5,100
2,23,100
2,10,77
2,16,11
2,17,0
2,3,100
2,22,100
2,28,0
2,12,100
2,4,100
2,25,0
2,9,100
2,19,100
2,1,100
2,18,0
2,11,100
3,0,29
3,0,14
3,12,77
3,11,100
3,3,83
3,19,100
3,14,0
3,30,0
3,22,100
3,2,100
3,18,99
3,21,23
3,6,100
3,23,100
3,20,100
3,17,0
3,24,100
3,27,0
3,26,0
3,16,0
3,10,100
3,5,100
3,8,100
3,9,100
3,1,100
3,29,0
3,28,0
3,7,100
3,25,0
3,4,100
3,15,0
3,13,0
4,0,0
4,0,0
4,28,0
4,4,100
4,6,100
4,8,100
4,21,100
4,1,100
4,15,0
4,10,0
4,12,100
4,7,100
4,17,0
4,20,96
4,30,0
4,3,100
4,22,100
4,29,0
4,26,0
4,27,0
4,16,0
4,9,100
4,13,0
4,18,0
4,14,0
4,11,100
4,5,100
4,25,0
4,23,100
4,24,100
4,19,100
4,2,100
5,0,0
5,25,1
5,3,99
5,19,98
5,8,98
5,9,99
5,1,98
5,7,99
5,28,1
5,24,99
5,15,1
5,26,2
5,13,1
5,2,98
5,17,0
5,5,98
5,22,99
5,30,1
5,29,2
5,6,98
5,4,99
5,12,98
5,20,98
5,14,2
5,10,1
5,16,3
5,11,97
5,27,0
5,23,99
5,18,3
5,21,98
6,0,1
6,0,0
6,27,1
6,2,99
6,16,2
6,18,99
6,29,0
6,14,0
6,8,98
6,5,100
6,24,100
6,21,100
6,20,99
6,1,99
6,17,1
6,11,89
6,10,94
6,28,14
6,26,1
6,7,97
6,12,99
6,22,97
6,25,1
6,19,98
6,9,98
6,13,3
6,30,0
6,15,1
6,3,99
6,4,99
6,6,1
6,23,98
7,0,44
7,0,42
7,13,36
7,24,100
7,7,76
7,18,100
7,11,100
7,22,99
7,2,100
7,26,19
7,17,100
7,4,100
7,30,14
7,25,17
7,10,77
7,6,100
7,3,98
7,29,13
7,28,3
7,21,50
7,23,96
7,9,95
7,27,3
7,20,93
7,12,75
7,1,100
7,14,11
7,15,7
7,5,100
7,16,3
7,8,95
7,19,90
8,0,1
8,0,1
8,21,98
8,24,97
8,3,99
8,30,1
8,23,98
8,4,99
8,12,0
8,20,99
8,26,2
8,27,2
8,9,1
8,17,0
8,25,1
8,5,100
8,19,99
8,2,1
8,14,0
8,15,2
8,1,2
8,29,0
8,7,0
8,11,2
8,18,97
8,16,98
8,8,2
8,10,16
8,6,1
8,13,3
8,28,1
8,22,98
9,0,0
9,0,0
9,0,2
9,0,0
9,0,0
9,0,0
9,0,0
9,4,100
9,22,100
9,23,100
9,3,100
9,1,100
9,9,95
9,20,100
9,27,0
9,8,99
9,24,99
9,15,0
9,16,1
9,29,0
9,28,0
9,26,0
9,17,50
9,13,2
9,7,50
9,14,1
9,19,50
9,10,51
9,11,50
9,30,0
9,2,100
9,12,50
9,18,99
9,5,100
9,21,49
9,6,99
9,25,1
10,0,0
10,20,100
10,3,100
10,12,100
10,9,100
10,22,100
10,7,51
10,4,100
10,14,0
10,17,0
10,27,0
10,23,100
10,8,100
10,5,100
10,18,100
10,11,100
10,30,0
10,28,0
10,2,100
10,6,100
10,19,100
10,13,0
10,16,0
10,15,0
10,21,100
10,26,0
10,1,100
10,24,100
10,25,0
10,29,0
10,10,0
11,0,0
11,0,2
11,0,2
11,9,87
11,30,1
11,27,0
11,24,99
11,14,1
11,6,99
11,23,95
11,10,6
11,1,100
11,29,2
11,20,85
11,26,3
11,16,0
11,17,19
11,15,1
11,19,2
11,3,100
11,18,12
11,13,2
11,11,99
11,28,0
11,7,83
11,2,97
11,4,99
11,25,0
11,12,84
11,21,62
11,22,99
11,5,99
11,8,83
12,0,51
12,0,0
12,0,0
12,0,0
12,11,100
12,8,100
12,24,100
12,10,100
12,19,100
12,26,0
12,18,0
12,28,0
12,5,100
12,2,100
12,6,100
12,13,0
12,1,100
12,12,0
12,7,100
12,15,0
12,27,0
12,3,100
12,29,0
12,14,0
12,25,0
12,9,100
12,23,100
12,22,100
12,17,0
12,16,0
12,4,100
12,20,100
12,30,0
12,21,0
13,0,3
13,0,2
13,0,2
13,4,98
13,25,2
13,22,99
13,28,0
13,3,99
13,30,1
13,6,97
13,14,1
13,27,0
13,13,2
13,29,1
13,20,98
13,19,97
13,1,97
13,2,97
13,15,1
13,8,98
13,17,2
13,9,98
13,21,98
13,18,2
13,5,100
13,7,98
13,11,98
13,24,98
13,16,2
13,26,1
13,12,97
13,23,98
13,10,52
14,0,0
14,0,2
14,0,0
14,26,1
14,15,0
14,21,100
14,13,0
14,23,98
14,3,98
14,10,61
14,25,1
14,27,1
14,17,72
14,11,98
14,9,87
14,6,99
14,30,2
14,20,96
14,22,94
14,18,98
14,28,1
14,29,6
14,7,86
14,12,100
14,5,100
14,19,95
14,1,100
14,2,100
14,4,97
14,14,2
14,24,96
14,8,98
14,16,2
15,0,8
15,0,6
15,0,2
15,0,2
15,0,1
15,0,2
15,0,3
15,15,2
15,10,57
15,12,60
15,20,81
15,13,1
15,14,4
15,23,90
15,17,68
15,6,98
15,24,98
15,2,98
15,16,3
15,19,84
15,29,3
15,21,74
15,28,1
15,1,99
15,3,99
15,25,2
15,5,99
15,7,91
15,11,99
15,30,1
15,27,4
15,4,99
15,22,98
15,9,84
15,18,72
15,8,97
15,26,2
16,0,1
16,0,1
16,0,0
16,5,99
16,24,92
16,23,94
16,1,89
16,9,80
16,13,5
16,30,50
16,3,84
16,22,83
16,29,6
16,17,87
16,2,85
16,6,90
16,8,83
16,7,71
16,12,35
16,26,0
16,10,39
16,20,86
16,28,8
16,25,3
16,15,4
16,21,57
16,16,25
16,14,10
16,27,9
16,4,84
16,11,53
16,18,72
16,19,79
17,0,0
17,8,33
17,28,0
17,15,0
17,7,100
17,24,100
17,16,0
17,20,100
17,26,0
17,6,100
17,13,0
17,10,100
17,21,100
17,27,0
17,12,100
17,22,100
17,14,0
17,9,100
17,2,100
17,18,0
17,17,0
17,25,0
17,3,100
17,19,100
17,1,100
17,29,0
17,5,100
17,30,0
17,11,100
17,23,100
17,4,100
18,0,99
18,0,1
18,0,1
18,21,100
18,30,2
18,15,1
18,2,49
18,12,97
18,23,99
18,10,2
18,19,87
18,18,7
18,22,98
18,1,100
18,28,3
18,29,1
18,14,3
18,4,98
18,26,1
18,5,99
18,6,97
18,7,99
18,11,93
18,3,99
18,17,2
18,9,97
18,27,0
18,8,98
18,25,1
18,13,2
18,16,1
18,24,99
18,20,94
19,0,9
19,0,5
19,7,0
19,21,100
19,23,86
19,5,100
19,24,100
19,15,0
19,10,100
19,9,100
19,12,100
19,1,96
19,17,0
19,18,0
19,20,100
19,6,100
19,27,0
19,11,100
19,25,0
19,13,0
19,19,100
19,29,48
19,14,0
19,26,0
19,28,0
19,22,100
19,4,100
19,3,100
19,8,100
19,2,100
19,30,0
19,16,0
20,0,0
20,28,1
20,19,99
20,26,1
20,16,0
20,9,51
20,24,97
20,2,98
20,13,2
20,23,97
20,17,1
20,29,1
20,1,98
20,7,98
20,12,98
20,21,99
20,11,98
20,3,97
20,4,98
20,18,1
20,22,98
20,20,98
20,8,97
20,5,97
20,30,2
20,15,2
20,27,0
20,14,3
20,25,1
20,6,99
20,10,97
21,0,0
21,0,0
21,14,0
21,4,100
21,30,0
21,18,80
21,24,100
21,6,100
21,7,100
21,13,100
21,3,100
21,29,98
21,27,83
21,15,100
21,10,100
21,16,1
21,19,100
21,11,87
21,22,100
21,26,0
21,5,100
21,21,98
21,1,100
21,17,100
21,28,0
21,8,91
21,2,100
21,25,0
21,20,100
21,23,100
21,9,91
21,12,91
22,0,0
22,0,2
22,24,100
22,10,83
22,13,0
22,22,98
22,27,1
22,14,1
22,26,3
22,29,0
22,16,0
22,20,100
22,4,100
22,2,98
22,15,0
22,1,100
22,19,80
22,6,97
22,11,100
22,21,76
22,23,100
22,5,100
22,9,100
22,12,0
22,18,0
22,28,3
22,25,0
22,17,0
22,30,0
22,3,100
22,8,82
22,7,80
23,0,1
23,6,100
23,5,99
23,12,1
23,2,79
23,24,82
23,17,80
23,9,27
23,15,1
23,20,77
23,3,83
23,1,78
23,22,27
23,16,0
23,27,1
23,14,0
23,21,71
23,8,32
23,7,67
23,19,75
23,4,82
23,26,4
23,11,3
23,23,79
23,28,2
23,25,0
23,30,14
23,13,1
23,10,24
23,18,65
23,29,23
24,0,0
24,0,0
24,27,1
24,6,99
24,2,99
24,11,1
24,25,1
24,20,98
24,23,99
24,3,99
24,9,98
24,26,1
24,5,99
24,29,1
24,15,2
24,28,1
24,8,99
24,22,99
24,30,0
24,21,99
24,10,99
24,17,0
24,24,100
24,1,99
24,13,0
24,7,99
24,16,0
24,4,100
24,14,0
24,18,0
24,19,99
24,12,100
25,0,2
25,0,1
25,28,0
25,16,2
25,25,2
25,15,0
25,20,100
25,26,1
25,27,1
25,4,100
25,7,99
25,9,100
25,19,100
25,29,2
25,14,2
25,5,98
25,30,2
25,12,99
25,8,99
25,10,98
25,6,99
25,13,2
25,11,99
25,22,99
25,1,98
25,21,99
25,2,99
25,17,0
25,24,99
25,18,0
25,3,99
25,23,99
26,0,1
26,0,1
26,0,2
26,16,14
26,17,41
26,8,69
26,28,4
26,7,79
26,10,74
26,5,99
26,26,1
26,4,99
26,20,99
26,19,99
26,24,99
26,1,97
26,12,98
26,2,98
26,15,1
26,14,1
26,25,0
26,23,99
26,13,0
26,3,99
26,29,22
26,6,98
26,18,26
26,22,98
26,21,97
26,9,98
26,30,0
26,11,97
26,27,0
27,0,2
27,24,99
27,22,99
27,9,99
27,29,0
27,23,98
27,4,99
27,25,0
27,27,2
27,3,99
27,17,0
27,10,91
27,11,90
27,5,100
27,15,1
27,14,2
27,16,1
27,20,89
27,6,100
27,26,2
27,19,87
27,13,1
27,18,0
27,2,99
27,28,1
27,1,90
27,8,91
27,12,84
27,21,89
27,7,94
27,30,1
28,0,1
28,21,100
28,15,0
28,2,100
28,24,99
28,11,100
28,1,97
28,7,34
28,10,6
28,6,97
28,8,62
28,13,0
28,9,3
28,22,78
28,18,98
28,5,100
28,4,97
28,26,0
28,20,89
28,23,98
28,14,4
28,30,0
28,29,20
28,25,1
28,19,99
28,3,96
28,17,96
28,16,4
28,27,2
28,12,0
28,28,2
29,0,0
29,29,0
29,23,100
29,4,100
29,10,100
29,6,100
29,11,100
29,16,0
29,24,100
29,5,100
29,22,100
29,20,100
29,15,0
29,25,0
29,1,100
29,12,100
29,18,0
29,13,0
29,30,0
29,27,0
29,14,0
29,9,100
29,19,100
29,8,100
29,2,100
29,21,100
29,3,100
29,28,0
29,26,0
29,17,0
29,7,100
30,0,0
30,0,0
30,17,0
30,8,1
30,23,98
30,22,98
30,21,22
30,11,70
30,5,99
30,4,99
30,1,98
30,24,99
30,12,100
30,27,2
30,19,2
30,16,0
30,18,2
30,13,2
30,29,16
30,15,0
30,25,0
30,14,0
30,30,0
30,2,99
30,10,1
30,3,96
30,7,95
30,6,98
30,26,1
30,9,99
30,28,2
30,20,3
31,0,0
31,0,0
31,21,0
31,29,0
31,1,98
31,12,0
31,20,99
31,15,0
31,18,0
31,22,98
31,3,98
31,16,0
31,4,99
31,6,100
31,14,0
31,28,0
31,5,97
31,11,98
31,23,98
31,10,99
31,24,98
31,26,1
31,25,1
31,27,0
31,30,1
31,9,98
31,13,1
31,7,99
31,19,98
31,2,99
31,17,2
31,8,99
32,0,0
32,7,82
32,13,0
32,1,100
32,20,100
32,19,100
32,14,0
32,8,100
32,24,100
32,5,100
32,29,0
32,15,0
32,17,0
32,21,100
32,3,100
32,6,100
32,11,100
32,9,100
32,23,100
32,2,100
32,27,0
32,18,0
32,30,0
32,22,100
32,10,79
32,16,0
32,25,0
32,4,100
32,26,0
32,12,100
32,28,0
33,0,81
33,0,84
33,14,18
33,11,77
33,22,85
33,13,9
33,7,33
33,26,73
