id,age,gender,race,ethnicity,time,feedback
1,54,Male,White,Non-Hispanic,613.223,"I decided that no effort was ever spent, as it's just pixels on a screen."
2,29,Female,White,Non-Hispanic,903.772,"How Many blocks the blue player had to travel in order to help (or sabotage) the red player influenced my rankings. If the blue player didn't have to travel at all, or only had to travel one block, I didn't rank it as less effortful. If the blue player traveled multiple blocks, I ranked it as more effortful. "
3,51,Male,White,Non-Hispanic,655.696,How many space the blue had to go was a bit more effort or intentionally blocking red
4,38,Female,White,Non-Hispanic,485.083,
5,53,Female,White,Non-Hispanic,913.008,"I defined effort as how much the blue had to move to do what it did, and how much intention it looked like it had. "
6,20,Female,Asian,Non-Hispanic,494.364,"I factored in how much movement the blue ball made, whether or not the red ball met their goal, and whether the blue balls movement hindered or helped the red ball achieve its goal. "
7,29,Female,Black/African American,Non-Hispanic,570.044,
8,43,Female,White,Non-Hispanic,881.089,If they were able to win and blue helped red reach destination effectively I gave maximum effort 
9,22,Male,Asian,Non-Hispanic,700.571,"How many moves they made and how much effort was put into getting the star were factors that influenced my response. I have no questions, but I thought the experiment was very interesting. "
10,31,Female,White,Non-Hispanic,390.64,Just how many spaces the blue player had to move
11,41,Female,White,Non-Hispanic,817.188,I looked to see how much the blue ball helped the red ball
12,31,Non-binary,White,Non-Hispanic,605.365,"I considered ""effort"" to be a mix of the number of moves and the thought that went into those moves."
13,55,Female,White,Non-Hispanic,798.252,How many times the blue player moved. 
14,38,Male,White,Non-Hispanic,655.925,I determined how much blue went out of their way to make it impossible for red to win.  
15,45,Male,White,Non-Hispanic,402.968,"Nothing really, if the blue player went out of it's way to push a block to cause a fail that was the most effort involved. It takes effort to be a jerk."
16,35,Female,White,Non-Hispanic,393.539,"If the blue player was successful in keeping the red player away from the star, or was successful helping the red player get to the star"
17,59,Female,White,Non-Hispanic,986.801,If the blue one didn't move there was no effort. Scaled up as to how many times blue moved
18,42,Female,Asian,Non-Hispanic,1749.545,"Factors that influenced how I decided to respond are what the blue player's actions were. If the blue player purposely blocked the red player, than the effort was below halfway. If the blue player did not block the red player, than the effort was over halfway."
19,56,Female,White,Non-Hispanic,1149.37,I considered the number of times the blue player actually did something.
20,42,Female,American Indian/Alaska Native,Non-Hispanic,876.283,I considered how many moves or how thought out the moves were of the blue player to decide how much effort they had put in. 
21,56,Female,White,Non-Hispanic,775.179,"Effort didn't equate to success or failure for me, it was how many moves the blue player made."
22,53,Female,White,Non-Hispanic,1107.836,how many times the blue one moved and how they tried to help or hurt the red one
23,41,Female,,Non-Hispanic,1082.375,"Even though it took the same amount of energy for blue to move push OR pull the box, I ranked actions to hinder red took more effort. Because I believe to BE cruel or mean takes more effort than to be helpful or kind."
24,26,Female,White,Non-Hispanic,941.834,How many moves the blue player took.
25,29,Male,Black/African American,Non-Hispanic,555.853,The main factor that influenced my responses was the amount of movement done by the blue player.
26,49,Female,White,Non-Hispanic,804.774,How many moves that blue had to do.
27,29,Male,White,Non-Hispanic,469.825,To be honest I feel no matter what the blue player does it doesn't require a lot of effort.
28,31,Male,Latino/Hispanic,Hispanic,878.482,I decided on the effort by judging how far Blue went out of his way to push or pull the block. 
29,37,Male,White,Non-Hispanic,577.545,the amount of spaces the blue guy moved.
30,33,Male,White,Non-Hispanic,580.258,"Whether the blue moved when needed, whether they waited to move, whether they allowed/hindered success, and how far they went out of their way."
31,45,Male,White,Non-Hispanic,536.488,Helping/hindering was considered the same amount of effort. Moving around the grid and moving blocks was the main consideration for effort.
32,37,Male,White,Non-Hispanic,444.778,How much movement the blue player underwent is how I made my judgement.
33,39,Female,White,Non-Hispanic,709.871,I thought about whether the blue player had to move a lot. I also thought about whether the blue player moved a box or not.
34,28,Female,White,Non-Hispanic,626.696,The square looked heavy and so I felt like it takes more effort to move the box one square vs. the red player moving several squares
35,29,Male,White,Hispanic,489.804,If Blue didn't move at all they did not make any effort at all. If they moved even to interfere against Red or help Red then they definitely made an effort to do something.
36,21,Female,Native Hawaiian/Pacific Islander,Non-Hispanic,396.849,how much blue moved and what steps it took to block or help.
37,58,Female,White,Non-Hispanic,1738.629,"If the blue player didn't move at all, I rated it as the least amount of effort. If he just moved a couple of times to move the block, I rated as minimal effort. If he had to take several moves, I rated it as more effort."
38,34,Female,White,Non-Hispanic,659.763,"How far the blue player had to go to move the box, or if they had to move at all. Also how many moves it took to help or hinder the red player"
39,43,Male,White,Non-Hispanic,562.002,"Few things, I started out with the nbumber ofr moves blue had to make and how many with the cube, then it became, how much of a dick was the blue player lol. It takes more work to block red than it is to just let get to the star in some cases"
40,46,Female,White,Non-Hispanic,1044.576,How much the blue player had to move was the main deciding factor.
41,44,Female,Black/African American,Non-Hispanic,1332.617,just try to get to the star quickly
42,31,Male,White,Non-Hispanic,356.022,"Movement, action"
43,67,Female,Black/African American,Non-Hispanic,1157.148,I watched whether the blue player moved a box one square or did not move. 
44,50,Female,White,Non-Hispanic,780.667,How much the blue moved. 
45,28,Male,White,Non-Hispanic,241.336,
46,48,Male,White,Non-Hispanic,648.286,I based on my decision around how much it seemed the blue player went out of their way to do something or not to do something.
47,31,Male,Mexican American,Hispanic,460.546,How many actions the blue player committed.
48,23,Female,eurasian ,Non-Hispanic,448.795,"The actual movement by the blue player was the main aspect that determined my responses.  If the blue player moved more, there was more effort.  If the blue player didnt move at all, I considered no effort to be made.  Also, if the blue player made more complex moved, I considered slightly more effort there."
49,25,Male,White,Hispanic,603.762,Whether blue moved a box or not
50,25,Non-binary,White,Non-Hispanic,872.987,How far the blue player had to move and if they moved anything.
