id,age,gender,race,ethnicity,time,feedback
1,37,Male,Asian,Non-Hispanic,505.305,
2,40,Female,White,Non-Hispanic,505.186,thank you and good luck
3,24,Non-binary,White,Hispanic,751.283,
4,46,Female,White,Non-Hispanic,827.371,no
5,26,Male,White,Non-Hispanic,458.062,
6,26,Female,White,Non-Hispanic,625.918,no
7,48,Female,White,Non-Hispanic,578.508,no
8,58,Female,White,Non-Hispanic,2030.276,No. It was fun!
9,50,Female,White,Non-Hispanic,547.605,No
10,20,Male,White,Non-Hispanic,598.767,
11,41,Female,White,Non-Hispanic,1067.766,Fun experiment! It may be helpful to participants to state clearly that the blue player's goal is not to reach the star.   
12,21,Male,White,Non-Hispanic,381.844,
13,48,Male,White,Non-Hispanic,1748.039,No Comment
14,33,Female,Asian,Non-Hispanic,422.593,
15,33,Male,Asian,Non-Hispanic,402.163,No
16,42,Male,White,Non-Hispanic,638.142,"I will say I wish there was a scenario where I could play the game with another person, that would be fun. "
17,31,Male,mixed,Non-Hispanic,522.892,no
18,28,Male,White,Non-Hispanic,538.105,no
19,24,Female,Asian,Non-Hispanic,418.981,
20,60,Male,White,Non-Hispanic,601.28,Excellent survey.
21,25,Male,White,Hispanic,635.062,"If you could make the 'video replay' faster or just show the video alone, that may make things easier for the participant."
22,27,Female,White,Non-Hispanic,602.721,
23,54,Male,Asian,Non-Hispanic,736.835,
24,31,Male,White,Non-Hispanic,575.926,very interesting experiment. Although it wasn't said at the beggining what the Blue participants objective was it made the comprehension questinos a little confusing.
25,22,Female,Asian,Non-Hispanic,571.25,No
26,24,Male,White,Non-Hispanic,427.106,none
27,31,Female,White,Non-Hispanic,519.593,
28,38,Male,White,Non-Hispanic,462.262,
29,62,Male,White,Non-Hispanic,1103.445,Thanks for allowing me to participate in your study.
30,41,Male,White,Non-Hispanic,478.244,nope
31,31,Female,White,Non-Hispanic,446.005,
32,32,,Black/African American,Non-Hispanic,801.445,
33,31,Male,White,Non-Hispanic,735.709,n.a.
34,26,Female,Black/African American,Non-Hispanic,636.728,
35,48,Female,White,Non-Hispanic,985.292,
36,21,Female,White,Non-Hispanic,664.246,
37,26,Non-binary,Asian,Non-Hispanic,451.8,
38,39,Female,White,Non-Hispanic,610.265,
39,38,Female,White,Non-Hispanic,849.635,
40,51,Female,Hispanic,Hispanic,1242.337,
41,45,Female,White,Non-Hispanic,1028.125,
42,29,Male,White,Non-Hispanic,560.497,
43,30,Female,White,Non-Hispanic,1212.958,
44,51,Male,White,Non-Hispanic,774.635,none thank you
45,22,Female,Black/African American,Non-Hispanic,622.189,
46,28,Female,White,Non-Hispanic,411.274,
47,32,Male,White,Hispanic,474.643,
48,27,Non-binary,White,Non-Hispanic,729.375,Nope
49,23,Female,White,Non-Hispanic,492.781,Nothing to add.
50,23,Male,White,Non-Hispanic,556.561,"No, but it was fun and interesting."
