id,age,gender,race,ethnicity,time,feedback
1,35,Female,White,Hispanic,677.193,
2,28,Female,Asian,Non-Hispanic,452.045,no
3,28,Male,Black/African American,Non-Hispanic,996.523,
4,56,Male,White,Non-Hispanic,780.541,No
5,40,Female,White,Non-Hispanic,1056.954,"no, thank you for asking"
6,58,Male,Black/African American,Non-Hispanic,815.261,
7,24,Male,Asian,Non-Hispanic,499.194,
8,23,Male,Asian,Non-Hispanic,665.371,
9,44,Female,White,,1050.523,The blue player having no set goal made this very interesting. I never knew if they would help or not. 
10,39,Female,White,Non-Hispanic,1025.745,no
11,40,Male,Asian,Hispanic,1207.805,
12,40,Male,White,Non-Hispanic,1358.455,I enjoyed the game! Thanks for letting me participate. 
13,34,Male,Black/African American,Non-Hispanic,597.708,
14,43,Female,White,Non-Hispanic,1358.506,very interesting survey. I attributed mostly all the success to the blue ball. 
15,29,Female,White,Non-Hispanic,866.547,No comment
16,23,Male,White,Non-Hispanic,457.853,"No comment, but thank you for allowing me to participate in this study."
17,36,Female,White,Non-Hispanic,800.683,No
18,23,Male,White,Non-Hispanic,847.684,No
19,24,Non-binary,White,Non-Hispanic,439.686,
20,22,Male,White,Non-Hispanic,415.963,
21,29,Male,White,Non-Hispanic,464.129,
22,68,Female,White,Non-Hispanic,946.377,
23,48,Male,White,Non-Hispanic,830.587,
24,41,Female,White,Non-Hispanic,1173.382,
25,54,Female,White,Non-Hispanic,773.881,
26,25,Male,Asian,Non-Hispanic,421.938,
27,47,Female,White,Non-Hispanic,733.468,no
28,25,Female,White,Non-Hispanic,427.666,
29,57,Male,White,Non-Hispanic,850.017,no
30,41,Male,White,Non-Hispanic,923.048,
31,49,Male,White,,972.687,
32,41,Female,Asian,Non-Hispanic,1459.43,
33,62,Male,White,Non-Hispanic,958.929,
34,65,Female,,Non-Hispanic,1988.846,No
35,31,Male,White,Non-Hispanic,373.106,No
36,51,Female,White,Hispanic,2346.43,I was a Little confused with the instructions at first but then I understand my mistake and was able to make the game.
37,43,Male,Black/African American,Non-Hispanic,759.403,No
38,64,Male,White,Non-Hispanic,1082.078,no
39,51,Female,Black/African American,Non-Hispanic,1678.978,No
40,43,Male,White,Non-Hispanic,1031.484,"I love the underlying ""action vs inaction"" as it pertains to responsibility theme."
41,46,Male,Asian,Non-Hispanic,1075.182,interesting
42,40,Male,bi,Non-Hispanic,710.493,no
43,63,Male,White,Non-Hispanic,846.521,all good
44,22,Non-binary,White,Non-Hispanic,462.292,
45,32,Female,Asian,,864.86,
46,20,Male,White,Non-Hispanic,526.986,no
47,42,Female,White,Non-Hispanic,881.277,No
48,34,Female,White,Non-Hispanic,527.874,no
49,50,Female,Black/African American,Non-Hispanic,1310.86,No
50,37,Female,White,Non-Hispanic,737.904,Was interesting to see how people are willing to be non-helpful to being spiteful.
