id,age,gender,race,ethnicity,time,feedback
1,42,Female,White,Non-Hispanic,750.752,"I counted the boxes to see if the red character could even possibly get to the star in under 10 moves or not, regardless of the box or blue character, and then used this information toward my decisions about whether or not the red character could have gotten to the star if the blue character wasn't there."
2,36,Male,White,Non-Hispanic,572.552,I considered the number of steps needed to make it to the goal and whether the blue figure was helpful or harmful
3,44,Female,White,Non-Hispanic,657.559,If they could had made it without the interference of the blue one
4,32,Male,Asian,Non-Hispanic,703.09,I tried to count the number of steps it would have taken the red player to win the game if the blue player wasn't there.
5,46,Female,White,Non-Hispanic,695.285,no
6,31,Female,Black/African American,Non-Hispanic,999.643,I felt like just seeing how the game moved and each player moved as well as counting spaces and seeing what could have happened regardless of each scenario is what helped me to respond. I think this was interesting to see this played out and this was very different. 
7,34,Female,White,Non-Hispanic,693.475,I decided based on how red acted before blue moved or did not move the block and how likely it was that red would make it in the alloted amount of moves
8,29,Female,White,Non-Hispanic,948.607,If winning was possible without intervention and if losing was inevitable with or without intervention
9,29,Female,Black/African American,Non-Hispanic,1165.384,How many steps the red player had left and also alternate routes had the blue player not been there
10,34,Male,White,Non-Hispanic,1103.392,I counted the boxes and possible routes first.
11,31,Female,White,Hispanic,464.164,How many extra moves the red player had to make when the blue player hindered them from reaching the star.
12,29,Male,White,Non-Hispanic,726.139,
13,64,Female,White,Non-Hispanic,1565.814,"I counted the squares necessary to reach the star (had to be 10 or less) and whether it could be done, (ignoring blue) if there were no blocks or walls preventing success."
14,38,Male,White,Non-Hispanic,568.138,"I was influenced by how many boxes lay between the red player and the star. I was also influenced by whether or not the blue player's choices to push, pull, or leave a box alone represented the only possible route the red player could have taken to reach the star within the time limit (e.g., ten blocks or not)."
15,58,Female,White,Non-Hispanic,1022.663,"I counted how many squares that the red player would have to go through to reach goal. If it was less than 10, then the red player could have succeeded without the help of the blue player."
16,33,Male,Black/African American,Non-Hispanic,1323.281,I JUST WATCHED THE VIDEO 
17,32,Male,White,Non-Hispanic,703.441,none
18,48,Male,White,Non-Hispanic,766.307,"The red player didn't always take the most logical or efficient path, which began to explain why the unsure"" option was available"""
19,29,Male,White,Non-Hispanic,326.631,On if the red player could have progressed to win without the blue player being involved.
20,49,Female,Black/African American,Non-Hispanic,1429.525,How many steps had to be taken before getting to the star and if blue was helpful or un helpful 
21,27,Male,White,Non-Hispanic,647.059,mostly based on how many numbers I presumed it would take
22,32,Male,White,Non-Hispanic,753.985,the blue players choice to move the box and the distance to the star
23,50,Male,White,Non-Hispanic,334.814,
24,33,Male,other_race,Hispanic,1644.655,
25,29,Female,White,Non-Hispanic,625.978,
26,31,Male,Black/African American,Non-Hispanic,739.757,
