id,trial,int,judge_t1,resp_blue,resp_red
1,11,91,21,4,98
1,3,4,97,97,97
1,8,97,5,3,98
1,2,2,98,98,99
1,9,96,5,1,97
1,12,94,1,5,96
1,1,2,95,93,96
1,6,3,97,98,96
1,5,2,99,98,98
1,10,99,2,2,100
1,7,98,1,1,97
1,4,11,84,96,97
2,12,100,0,0,100
2,8,100,0,0,100
2,1,0,100,12,89
2,11,100,0,0,100
2,10,100,0,0,100
2,5,0,100,50,50
2,6,0,100,26,73
2,9,100,0,0,100
2,4,0,100,49,49
2,7,100,0,0,100
2,2,0,100,25,76
2,3,0,100,27,73
3,1,1,96,100,20
3,3,0,97,100,7
3,11,100,0,0,100
3,12,100,0,0,100
3,6,0,100,83,22
3,7,100,0,0,76
3,10,100,0,0,100
3,9,100,0,0,100
3,2,0,100,100,0
3,5,0,100,57,41
3,4,0,100,65,48
3,8,90,0,22,65
4,7,80,44,24,100
4,8,92,28,27,84
4,9,98,23,25,100
4,6,0,100,100,3
4,12,89,65,25,100
4,10,100,30,13,100
4,4,10,100,100,16
4,1,11,45,99,14
4,5,11,100,100,23
4,2,13,71,84,17
4,11,93,15,92,22
4,3,44,39,57,38
5,12,100,3,1,99
5,9,100,95,2,97
5,5,0,100,100,1
5,6,0,100,98,0
5,4,1,99,100,0
5,7,100,2,0,100
5,10,100,5,2,97
5,3,0,100,100,2
5,8,100,0,0,100
5,1,0,100,100,5
5,11,100,3,0,100
5,2,0,100,98,4
6,3,99,98,99,98
6,6,99,99,99,99
6,9,98,1,100,98
6,4,1,100,99,72
6,5,1,98,100,81
6,12,100,1,1,99
6,7,1,1,97,67
6,2,2,97,98,1
6,1,99,98,1,99
6,11,100,1,1,99
6,8,1,2,97,74
6,10,2,1,99,1
7,6,0,99,99,0
7,12,99,0,0,99
7,5,1,99,100,0
7,8,99,1,1,100
7,7,99,1,0,100
7,3,1,99,99,1
7,10,99,1,1,99
7,9,99,0,9,91
7,4,15,100,89,14
7,2,1,99,100,0
7,11,100,1,0,98
7,1,0,100,99,1
8,11,100,0,100,61
8,1,100,100,100,70
8,3,100,100,0,100
8,8,0,0,100,71
8,6,0,100,100,84
8,12,100,0,0,82
8,2,0,100,100,69
8,5,100,100,0,100
8,7,0,0,89,65
8,4,0,100,100,66
8,9,100,0,0,100
8,10,0,0,100,74
9,3,100,86,99,73
9,10,0,2,94,90
9,8,59,1,1,100
9,6,98,98,0,99
9,9,1,1,95,92
9,11,99,2,0,99
9,12,98,2,7,98
9,2,100,97,0,97
9,7,0,3,100,93
9,1,98,98,11,100
9,5,1,95,89,95
9,4,2,98,98,83
10,1,99,99,88,11
10,5,100,100,87,12
10,10,0,0,89,67
10,3,0,100,90,72
10,8,86,0,0,100
10,11,0,0,86,65
10,2,100,100,0,100
10,7,100,0,0,100
10,12,0,1,88,69
10,9,100,0,0,100
10,4,100,100,0,99
10,6,100,100,0,100
11,1,92,61,70,72
11,6,26,81,65,38
11,3,10,53,73,79
11,2,16,79,34,76
11,8,98,6,6,91
11,10,50,2,2,70
11,4,49,94,28,78
11,5,4,85,65,76
11,7,50,2,29,78
11,12,49,2,4,79
11,9,49,1,10,87
11,11,50,1,2,84
12,5,99,100,70,70
12,6,0,100,51,100
12,8,0,0,50,100
12,10,100,20,1,100
12,11,100,0,0,100
12,2,100,100,0,100
12,4,0,100,51,100
12,1,0,100,49,100
12,9,0,0,50,99
12,12,100,0,0,100
12,3,100,100,1,100
